FIPS,County name,FiveYearAgeGroups,NetMig9500,NetMig0010,NetMig1020,Rate9500,Rate0010,Rate1020
27,Custer,55,35,210,101,0.12455516,0.412573674,0.350676338
27,Custer,60,87,273,15,0.346613546,0.516068053,0.034379516
27,Custer,65,41,213,57,0.190697674,0.539240506,0.114679373
27,Custer,70,-8,92,8,-0.057971014,0.368,0.016309413
27,Custer,75,12,62,-7,0.121212121,0.354285714,-0.020880633
27,Custer,80,15,63,-5,0.405405405,0.649484536,-0.026507281
27,Custer,85,6,53,-9,0.352941176,1.358974359,-0.085309942
29,Delta,0,0,28,98,0,0.016175621,0.060871298
29,Delta,5,-110,263,334,-0.061728395,0.142857143,0.19931514
29,Delta,10,-49,403,300,-0.024102312,0.20709147,0.157929061
29,Delta,15,-128,268,183,-0.067976633,0.135490394,0.107078456
29,Delta,20,-454,-528,-77,-0.396160558,-0.373144876,-0.053170771
29,Delta,25,-37,-205,-140,-0.029272152,-0.12991128,-0.098966137
29,Delta,30,-9,513,447,-0.006423983,0.332684825,0.3422416
29,Delta,35,179,421,397,0.098405717,0.268494898,0.237715823
29,Delta,40,162,431,272,0.077623383,0.252489748,0.164185946
29,Delta,45,197,418,229,0.092185307,0.199617956,0.138513717
29,Delta,50,184,510,84,0.089756098,0.209617756,0.047193565
29,Delta,55,165,515,218,0.099099099,0.209775967,0.101799994
29,Delta,60,190,520,82,0.121250798,0.217937972,0.033603403
29,Delta,65,232,501,42,0.152732061,0.258780992,0.017542238
29,Delta,70,70,233,17,0.053557766,0.151594014,0.007828371
29,Delta,75,15,-63,-22,0.01350135,-0.054735013,-0.013670864
29,Delta,80,-12,-93,-31,-0.015132409,-0.118170267,-0.027520075
29,Delta,85,13,-61,4,0.026639344,-0.114877589,0.006029195
31,Denver,0,0,-6232,-882,0,-0.141443486,-0.018583898
31,Denver,5,-8994,-13580,-3264,-0.260002313,-0.358576257,-0.070388065
31,Denver,10,-6309,-6793,-2275,-0.200330232,-0.220094609,-0.052228228
31,Denver,15,-3190,-2579,958,-0.098405158,-0.081052202,0.023493799
31,Denver,20,5088,15430,13685,0.11104806,0.329306812,0.291300455
31,Denver,25,5848,33610,27811,0.095746423,0.509775371,0.471597382
31,Denver,30,-6912,12133,23728,-0.130341316,0.209131964,0.345038696
31,Denver,35,-9118,-12078,7377,-0.20068671,-0.243591554,0.097089822
31,Denver,40,-7168,-11542,-3307,-0.174005923,-0.278624019,-0.056620575
31,Denver,45,-4701,-7545,-3617,-0.122453764,-0.20482124,-0.077108242
31,Denver,50,-3281,-3340,-3038,-0.09822471,-0.092507963,-0.07605471
31,Denver,55,-2279,-2485,92,-0.100498302,-0.073557707,0.002531872
31,Denver,60,-1414,-2247,-396,-0.082694894,-0.077939646,-0.011330146
31,Denver,65,-1358,-1295,-655,-0.089471604,-0.067979003,-0.02062418
31,Denver,70,-1065,-1032,-1580,-0.069653368,-0.075587783,-0.062983404
31,Denver,75,-532,-1029,-844,-0.037840529,-0.094170404,-0.055793683
31,Denver,80,-490,-1202,-280,-0.052417629,-0.126632954,-0.029270291
31,Denver,85,-997,-1246,-176,-0.180517835,-0.194323144,-0.030198412
33,Dolores,0,0,17,8,0,0.126865672,0.082241979
33,Dolores,5,27,29,34,0.247706422,0.228346457,0.31291268
33,Dolores,10,16,34,35,0.128,0.274193548,0.242923483
33,Dolores,15,-49,-3,13,-0.401639344,-0.028037383,0.098246795
33,Dolores,20,-52,-50,0,-0.604651163,-0.657894737,0
33,Dolores,25,-2,-14,5,-0.023809524,-0.13592233,0.051929695
33,Dolores,30,31,35,52,0.264957265,0.309734513,0.608209579
33,Dolores,35,25,46,47,0.211864407,0.365079365,0.412583505
33,Dolores,40,30,30,30,0.179640719,0.217391304,0.249511803
33,Dolores,45,14,40,24,0.088050314,0.298507463,0.183946454
33,Dolores,50,10,51,12,0.074074074,0.289772727,0.085978226
33,Dolores,55,20,47,14,0.175438596,0.297468354,0.108081748
33,Dolores,60,9,88,-10,0.085714286,0.520710059,-0.065080401
33,Dolores,65,-5,93,-19,-0.055555556,0.688888889,-0.153187676
33,Dolores,70,6,88,-34,0.071428571,0.88,-0.273029574
33,Dolores,75,-8,72,-29,-0.142857143,1.058823529,-0.317205287
33,Dolores,80,0,61,-19,0,1.150943396,-0.317126265
33,Dolores,85,-5,67,-14,-0.185185185,2.68,-0.403158664
35,Douglas,0,0,2016,-234,0,0.093199575,-0.01205799
35,Douglas,5,6151,7152,2219,0.358972863,0.269084616,0.108890637
35,Douglas,10,4197,7849,4418,0.28182917,0.31190145,0.166477736
35,Douglas,15,1152,2590,2837,0.109183964,0.131552215,0.097868286
35,Douglas,20,-728,-4680,-386,-0.129192547,-0.462450593,-0.019901042
35,Douglas,25,8001,3659,-720,0.676502917,0.26009383,-0.038147022
35,Douglas,30,10166,13408,5029,0.585160882,0.711979609,0.271045742
35,Douglas,35,8664,12871,6313,0.42533137,0.525261182,0.275493727
